Statistical profiling result from isolate-0x3963e20-2320-v8.log, (293642 ticks, 59797 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     26    0.0%    0.0%  node::Environment::untransferable_object_private_symbol() const
     24    0.0%    0.0%  v8::Value::ToString(v8::Local<v8::Context>) const
     24    0.0%    0.0%  __pthread_mutex_unlock_usercnt
     23    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<false>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     23    0.0%    0.0%  napi_is_buffer
     23    0.0%    0.0%  __libc_free
     22    0.0%    0.0%  v8::internal::Builtins::builtin_handle(int)
     22    0.0%    0.0%  v8::ArrayBufferView::Buffer()
     21    0.0%    0.0%  v8::ArrayBufferView::ByteLength()
     21    0.0%    0.0%  sigaddset
     21    0.0%    0.0%  operator new(unsigned long)
     21    0.0%    0.0%  node::Environment::StartProfilerIdleNotifier()::{lambda(uv_prepare_s*)#1}::_FUN(uv_prepare_s*)
     20    0.0%    0.0%  v8::internal::PropertyCallbackArguments::PropertyCallbackArguments(v8::internal::Isolate*, v8::internal::Object, v8::internal::Object, v8::internal::JSObject, v8::Maybe<v8::internal::ShouldThrow>)
     20    0.0%    0.0%  v8::internal::Builtin_ArrayBufferPrototypeGetByteLength(int, unsigned long*, v8::internal::Isolate*)
     20    0.0%    0.0%  v8::MicrotasksScope::PerformCheckpoint(v8::Isolate*)
     20    0.0%    0.0%  v8::ArrayBufferView::HasBuffer() const
     19    0.0%    0.0%  v8::internal::libc_memset(void*, int, unsigned long)
     19    0.0%    0.0%  __lll_lock_wait
     18    0.0%    0.0%  v8::Object::Set(v8::Local<v8::Context>, v8::Local<v8::Value>, v8::Local<v8::Value>)
     18    0.0%    0.0%  v8::Isolate::GetCurrentContext()
     18    0.0%    0.0%  v8::HandleScope::~HandleScope()
     16    0.0%    0.0%  v8::String::Length() const
     16    0.0%    0.0%  v8::Integer::NewFromUnsigned(v8::Isolate*, unsigned int)
     16    0.0%    0.0%  v8::ArrayBufferView::ByteOffset()
     16    0.0%    0.0%  node::crypto::SecureContext::AddRootCerts(v8::FunctionCallbackInfo<v8::Value> const&)
     16    0.0%    0.0%  napi_get_buffer_info
     15    0.0%    0.0%  v8::internal::RuntimeCallTimerScope::RuntimeCallTimerScope(v8::internal::Isolate*, v8::internal::RuntimeCallCounterId)
     15    0.0%    0.0%  v8::TryCatch::~TryCatch()
     15    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<true>::~CallDepthScope()
     15    0.0%    0.0%  node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     14    0.0%    0.0%  v8::Value::IsTypedArray() const
     14    0.0%    0.0%  node::crypto::RandomBytes(v8::FunctionCallbackInfo<v8::Value> const&)
     14    0.0%    0.0%  node::CPUUsage(v8::FunctionCallbackInfo<v8::Value> const&)
     14    0.0%    0.0%  node::(anonymous namespace)::Parser::Execute(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.0%    0.0%  v8::Isolate::SetIdle(bool)
     13    0.0%    0.0%  node::TLSWrap::Start(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.0%    0.0%  node::(anonymous namespace)::ScheduleTimer(v8::FunctionCallbackInfo<v8::Value> const&)
     12    0.0%    0.0%  v8::internal::heap_internals::GenerationalBarrierInternal(v8::internal::HeapObject, unsigned long, v8::internal::HeapObject)
     12    0.0%    0.0%  v8::Value::IsBoolean() const
     12    0.0%    0.0%  node::Environment::ScheduleTimer(long)
     12    0.0%    0.0%  __sched_yield
     11    0.0%    0.0%  v8::Value::IsArrayBuffer() const
     11    0.0%    0.0%  v8::V8::GlobalizeReference(v8::internal::Isolate*, unsigned long*)
     11    0.0%    0.0%  v8::Uint8Array::New(v8::Local<v8::ArrayBuffer>, unsigned long, unsigned long)
     11    0.0%    0.0%  v8::Uint32::Value() const
     11    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
     11    0.0%    0.0%  node::crypto::SecureContext::Init(v8::FunctionCallbackInfo<v8::Value> const&)
     11    0.0%    0.0%  node::Buffer::Length(v8::Local<v8::Value>)
     10    0.0%    0.0%  v8::TryCatch::HasCaught() const
     10    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<false>::~CallDepthScope()
     10    0.0%    0.0%  node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.0%    0.0%  node::url::(anonymous namespace)::Parse(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.0%    0.0%  node::StreamBase::CallJSOnreadMethod(long, v8::Local<v8::ArrayBuffer>, unsigned long, node::StreamBase::StreamBaseJSChecks)
      9    0.0%    0.0%  log10
      9    0.0%    0.0%  __pthread_enable_asynccancel
      9    0.0%    0.0%  __getpid
      9    0.0%    0.0%  __GI___pthread_mutex_unlock
